,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Patrick van Aanholt,nl NED,DF,Crystal Palace,26,1990,28,25,2 184,24.mars,5,1,6,5,0,0,7,0,03.janv,03.janv,02.janv,05.févr,46,92,86,0.21,0.04,0.25,0.21,0.25,0.13,0.09,0.21,0.13,0.21
Rolando Aarons,eng ENG,MF FW,Newcastle Utd,21,1995,4,1,139,01.mai,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,7,3,4,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
Tammy Abraham,eng ENG,FW,Swansea City,19,1997,31,15,1 726,19.févr,5,1,6,5,0,0,0,0,06.août,06.août,01.juin,08.avr,19,20,104,0.26,0.05,0.31,0.26,0.31,0.35,0.08,0.44,0.35,0.44
Charlie Adam,sct SCO,MF,Stoke City,31,1985,11,5,411,04.juin,0,0,0,0,0,1,2,1,01.juin,0.9,01.févr,02.janv,6,30,9,0.00,0.00,0.00,0.00,0.00,0.36,0.27,0.63,0.19,0.46
Adrián,es ESP,GK,West Ham,30,1987,19,19,1 71,19.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ibrahim Afellay,nl NED,MF,Stoke City,31,1986,6,1,166,01.août,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Benik Afobe,cd COD,FW,Bournemouth,24,1993,17,5,611,06.août,0,0,0,0,0,0,0,0,01.juin,01.juin,0.1,01.août,12,9,37,0.00,0.00,0.00,0.00,0.00,0.27,0.02,0.30,0.27,0.30
Sergio Agüero,ar ARG,FW,Manchester City,29,1988,25,22,1 963,21.août,21,6,27,17,4,4,2,0,16.févr,13.janv,05.juin,18.juil,89,49,214,0.96,0.28,janv.24,0.78,01.mai,0.75,0.26,1.00,0.60,0.86
Nathan Aké,nl NED,DF,Bournemouth,22,1995,38,37,3 353,37.3,2,3,5,2,0,0,5,0,01.avr,01.avr,01.sept,03.avr,14,96,10,0.05,0.08,0.13,0.05,0.13,0.04,0.05,0.09,0.04,0.09
Marc Albrighton,eng ENG,MF FW,Leicester City,27,1989,34,30,2 538,28.févr,2,7,9,2,0,0,5,1,01.juin,01.juin,05.juil,07.mars,64,114,162,0.07,0.25,0.32,0.07,0.32,0.06,0.20,0.26,0.06,0.26
Toby Alderweireld,be BEL,DF,Tottenham,28,1989,14,13,1 178,13.janv,0,0,0,0,0,0,3,0,0.4,0.4,0.1,0.5,12,109,5,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
Trent Alexander-Arnold,eng ENG,DF,Liverpool,18,1998,19,18,1 573,17.mai,1,1,2,1,0,0,3,0,1.0,1.0,02.juin,03.juin,39,94,126,0.06,0.06,0.11,0.06,0.11,0.05,0.15,0.21,0.05,0.21
Joe Allen,wls WAL,MF,Stoke City,27,1990,36,36,3 139,34.9,2,6,8,2,0,0,8,0,01.août,01.août,02.août,04.juin,37,165,89,0.06,0.17,0.23,0.06,0.23,0.05,0.08,0.13,0.05,0.13
Dele Alli,eng ENG,MF FW,Tottenham,21,1996,36,34,2 958,32.9,9,10,19,9,0,0,7,0,09.janv,09.janv,08.févr,17.mars,100,181,359,0.27,0.30,0.58,0.27,0.58,0.28,0.25,0.53,0.28,0.53
Marcos Alonso,es ESP,DF MF,Chelsea,26,1990,33,33,2 855,31.juil,7,2,9,7,0,0,6,0,04.janv,04.janv,02.août,7.0,78,103,261,0.22,0.06,0.28,0.22,0.28,0.13,0.09,0.22,0.13,0.22
Daniel Amartey,gh GHA,DF,Leicester City,22,1994,8,6,487,05.avr,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,5,14,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ethan Ampadu,wls WAL,DF,Chelsea,16,2000,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nordin Amrabat,ma MAR,FW,Watford,30,1987,3,3,198,02.févr,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,7,22,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.09,0.02,0.09
Michail Antonio,jm JAM,FW MF,West Ham,27,1990,21,16,1 354,15.0,3,1,4,3,0,0,1,0,02.avr,02.avr,1.0,03.avr,47,29,117,0.20,0.07,0.27,0.20,0.27,0.16,0.07,0.23,0.16,0.23
Scott Arfield,ca CAN,MF FW,Burnley,28,1988,18,15,1 333,14.août,2,1,3,2,0,0,3,0,01.mars,01.mars,0.4,01.juin,16,32,47,0.14,0.07,0.20,0.14,0.20,0.08,0.02,0.11,0.08,0.11
Marko Arnautović,at AUT,FW MF,West Ham,28,1989,31,28,2 313,25.juil,11,6,17,11,0,0,5,1,08.juin,08.juin,04.mars,13.0,76,52,232,0.43,0.23,0.66,0.43,0.66,0.34,0.17,0.50,0.34,0.50
Harry Arter,ie IRL,MF,Bournemouth,27,1989,13,11,960,10.juil,1,0,1,1,0,0,4,0,0.3,0.3,0.2,0.5,14,68,8,0.09,0.00,0.09,0.09,0.09,0.03,0.02,0.05,0.03,0.05
Christian Atsu,gh GHA,FW MF,Newcastle Utd,25,1992,28,19,1 784,19.août,2,2,4,2,0,0,1,0,4.0,4.0,02.juin,06.juil,70,47,125,0.10,0.10,0.20,0.10,0.20,0.20,0.13,0.34,0.20,0.34
Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,28,1989,13,12,1 057,11.juil,10,4,14,9,1,2,0,0,08.avr,06.août,01.janv,8.0,31,9,85,0.85,0.34,janv.19,0.77,01.nov,0.71,0.10,0.81,0.58,0.68
Serge Aurier,ci CIV,DF,Tottenham,24,1992,17,16,1 429,15.sept,2,2,4,2,0,0,3,1,0.8,0.8,02.juin,03.avr,32,67,152,0.13,0.13,0.25,0.13,0.25,0.05,0.16,0.21,0.05,0.21
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Charlie Austin,eng ENG,FW,Southampton,28,1989,24,10,1 037,11.mai,7,0,7,6,1,1,2,0,07.janv,06.mars,0.8,07.janv,5,18,67,0.61,0.00,0.61,0.52,0.52,0.62,0.07,0.68,0.55,0.61
André Ayew,gh GHA,MF FW,West Ham,27,1989,18,9,895,09.sept,3,2,5,3,0,1,2,0,03.mars,02.mai,0.3,02.sept,18,18,43,0.30,0.20,0.50,0.30,0.50,0.33,0.03,0.37,0.25,0.29
André Ayew,gh GHA,MF FW,Swansea City,27,1989,12,10,950,10.juin,0,2,2,0,0,0,3,0,01.sept,01.sept,01.mars,03.févr,16,24,53,0.00,0.19,0.19,0.00,0.19,0.18,0.13,0.30,0.18,0.30
Jordan Ayew,gh GHA,FW MF,Swansea City,25,1991,36,33,2 852,31.juil,7,2,9,6,1,1,2,1,07.mars,06.mai,2.0,08.mai,76,50,232,0.22,0.06,0.28,0.19,0.25,0.23,0.06,0.29,0.20,0.27
César Azpilicueta,es ESP,DF,Chelsea,27,1989,37,37,3 33,37.0,2,6,8,2,0,0,1,0,01.mars,01.mars,04.août,06.janv,61,240,81,0.05,0.16,0.22,0.05,0.22,0.03,0.13,0.16,0.03,0.16
Eric Bailly,ci CIV,DF,Manchester Utd,23,1994,13,11,1 001,11.janv,1,0,1,1,0,0,2,0,01.janv,01.janv,0.2,01.mars,3,26,0,0.09,0.00,0.09,0.09,0.09,0.10,0.01,0.11,0.10,0.11
Leighton Baines,eng ENG,DF,Everton,32,1984,22,22,1 909,21.févr,2,3,5,0,2,2,1,0,02.janv,0.5,01.sept,02.mai,31,84,61,0.09,0.14,0.24,0.00,0.14,0.10,0.09,0.19,0.02,0.12
Tiemoué Bakayoko,fr FRA,MF,Chelsea,22,1994,29,24,2 126,23.juin,2,2,4,2,0,0,5,1,03.févr,03.févr,01.févr,04.avr,39,123,57,0.08,0.08,0.17,0.08,0.17,0.13,0.05,0.18,0.13,0.18
Sam Baldock,eng ENG,FW,Brighton,28,1989,2,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Beni Baningime,cd COD,MF,Everton,18,1998,8,1,198,02.févr,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,11,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Phil Bardsley,sct SCO,DF,Burnley,32,1985,13,13,1 125,12.mai,0,0,0,0,0,0,5,0,0.0,0.0,0.3,0.3,7,53,7,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.00,0.03
Ross Barkley,eng ENG,MF,Chelsea,23,1993,2,2,129,01.avr,0,0,0,0,0,0,0,0,0.8,0.8,0.1,0.9,7,4,13,0.00,0.00,0.00,0.00,0.00,0.53,0.07,0.60,0.53,0.60
Ashley Barnes,eng ENG,FW,Burnley,27,1989,36,21,2 165,24.janv,9,0,9,9,0,0,10,0,06.juil,06.juil,01.juin,08.mars,17,34,127,0.37,0.00,0.37,0.37,0.37,0.28,0.07,0.34,0.28,0.34
Harvey Barnes,eng ENG,MF FW,Leicester City,19,1997,3,0,10,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,2,2,0.00,0.00,0.00,0.00,0.00,0.64,0.00,0.64,0.64,0.64
Gareth Barry,eng ENG,MF,West Brom,36,1981,25,22,1 923,21.avr,1,1,2,1,0,0,4,0,01.juin,01.juin,01.avr,3.0,20,126,23,0.05,0.05,0.09,0.05,0.09,0.07,0.07,0.14,0.07,0.14
Kyle Bartley,eng ENG,DF,Swansea City,26,1991,5,2,235,02.juin,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,2,7,0,0.00,0.00,0.00,0.00,0.00,0.05,0.10,0.16,0.05,0.16
Michy Batshuayi,be BEL,FW,Chelsea,23,1993,12,3,360,4.0,2,1,3,2,0,0,0,0,01.janv,01.janv,0.1,01.févr,9,8,32,0.50,0.25,0.75,0.50,0.75,0.28,0.02,0.30,0.28,0.30
Moritz Bauer,at AUT,DF MF,Stoke City,25,1992,15,15,1 306,14.mai,0,0,0,0,0,0,4,0,0.2,0.2,0.9,01.janv,25,19,45,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.08,0.01,0.08
Jan Bednarek,pl POL,DF,Southampton,21,1996,5,5,426,04.juil,1,0,1,1,0,0,1,0,0.2,0.2,0.0,0.2,0,14,0,0.21,0.00,0.21,0.21,0.21,0.03,0.00,0.03,0.03,0.03
Asmir Begović,ba BIH,GK,Bournemouth,30,1987,38,38,3 42,38.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Héctor Bellerín,es ESP,DF,Arsenal,22,1995,35,34,3 051,33.9,2,3,5,2,0,0,5,0,02.févr,02.févr,03.sept,06.févr,84,134,333,0.06,0.09,0.15,0.06,0.15,0.07,0.12,0.18,0.07,0.18
Yohan Benalouane,tn TUN,DF,Leicester City,30,1987,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,4,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06
Christian Benteke,be BEL,FW,Crystal Palace,26,1990,31,24,2 24,24.sept,3,5,8,2,1,2,6,0,10.févr,08.juin,02.sept,11.mai,18,42,133,0.12,0.20,0.32,0.08,0.28,0.41,0.12,0.53,0.34,0.46
Saido Berahino,bi BDI,FW,Stoke City,23,1993,15,3,494,05.mai,0,1,1,0,0,1,0,0,2.0,01.févr,0.6,01.août,6,9,30,0.00,0.18,0.18,0.00,0.18,0.37,0.11,0.47,0.22,0.33
Jóhann Berg Guðmundsson,is ISL,MF,Burnley,26,1990,35,32,2 833,31.mai,2,8,10,2,0,0,2,0,03.mai,03.mai,04.juil,08.févr,83,75,192,0.06,0.25,0.32,0.06,0.32,0.11,0.15,0.26,0.11,0.26
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Ryan Bertrand,eng ENG,DF,Southampton,27,1989,35,35,3 135,34.8,0,4,4,0,0,0,2,0,01.juil,01.juil,03.janv,04.août,89,174,213,0.00,0.11,0.11,0.00,0.11,0.05,0.09,0.14,0.05,0.14
Muhamed Bešić,ba BIH,MF,Everton,24,1992,2,0,46,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09
Philip Billing,dk DEN,MF,Huddersfield,21,1996,16,8,764,08.mai,0,0,0,0,0,0,3,0,0.2,0.2,0.5,0.7,12,26,13,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.08,0.02,0.08
Mame Biram Diouf,sn SEN,FW DF,Stoke City,29,1987,35,30,2 596,28.août,6,2,8,6,0,0,6,0,06.mai,06.mai,01.sept,08.avr,38,43,172,0.21,0.07,0.28,0.21,0.28,0.22,0.07,0.29,0.22,0.29
Daley Blind,nl NED,DF MF,Manchester Utd,27,1990,7,4,362,4.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,9,23,22,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07
Jeremie Boga,ci CIV,MF,Chelsea,20,1997,1,1,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Yannick Bolasie,cd COD,FW,Everton,28,1989,16,11,851,09.mai,1,0,1,1,0,0,0,0,01.mai,01.mai,0.7,02.mars,39,20,52,0.11,0.00,0.11,0.11,0.11,0.16,0.08,0.24,0.16,0.24
Gaëtan Bong,cm CMR,DF,Brighton,29,1988,25,25,2 236,24.août,0,0,0,0,0,0,2,0,0.1,0.1,0.5,0.6,50,85,32,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
Wilfried Bony,ci CIV,FW,Swansea City,28,1988,15,8,707,07.sept,2,0,2,2,0,0,2,0,01.juin,01.juin,0.2,01.août,7,11,41,0.25,0.00,0.25,0.25,0.25,0.20,0.03,0.23,0.20,0.23
Sofiane Boufal,ma MAR,FW MF,Southampton,23,1993,26,11,1 219,13.mai,2,2,4,2,0,0,1,0,01.juil,01.juil,01.août,03.avr,78,76,114,0.15,0.15,0.30,0.15,0.30,0.12,0.13,0.25,0.12,0.25
Robbie Brady,ie IRL,MF,Burnley,25,1992,15,15,1 277,14.févr,1,2,3,1,0,0,3,0,01.févr,01.févr,02.janv,03.mars,32,54,67,0.07,0.14,0.21,0.07,0.21,0.08,0.15,0.23,0.08,0.23
Claudio Bravo,cl CHI,GK,Manchester City,34,1983,3,2,226,02.mai,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Miguel Britos,uy URU,DF,Watford,32,1985,12,10,797,08.sept,1,0,1,1,0,0,3,1,0.8,0.8,0.4,01.févr,5,43,4,0.11,0.00,0.11,0.11,0.11,0.09,0.05,0.14,0.09,0.14
Leon Britton,eng ENG,MF,Swansea City,34,1982,5,4,302,03.avr,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,11,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Izzy Brown,eng ENG,MF FW,Brighton,20,1997,13,4,311,03.mai,0,0,0,0,0,0,0,0,0.1,0.1,0.8,0.9,9,9,22,0.00,0.00,0.00,0.00,0.00,0.02,0.24,0.26,0.02,0.26
Bruno,es ESP,DF,Brighton,36,1980,25,23,2 016,22.avr,0,0,0,0,0,0,3,0,0.1,0.1,0.6,0.7,20,78,55,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
Chris Brunt,nir NIR,MF DF,West Brom,32,1984,26,22,1 92,21.mars,0,7,7,0,0,0,5,0,01.août,01.août,04.mars,06.janv,24,100,37,0.00,0.33,0.33,0.00,0.33,0.09,0.20,0.29,0.09,0.29
Oliver Burke,sct SCO,FW MF,West Brom,20,1997,15,2,367,04.janv,0,2,2,0,0,0,0,0,0.5,0.5,0.5,1.0,12,6,37,0.00,0.49,0.49,0.00,0.49,0.12,0.13,0.25,0.12,0.25
Jack Butland,eng ENG,GK,Stoke City,24,1993,35,35,3 15,35.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sam Byram,eng ENG,DF MF,West Ham,23,1993,5,2,248,02.août,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,5,14,10,0.00,0.00,0.00,0.00,0.00,0.11,0.04,0.15,0.11,0.15
Willy Caballero,ar ARG,GK,Chelsea,35,1981,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Yohan Cabaye,fr FRA,MF,Crystal Palace,31,1986,31,28,2 376,26.avr,0,1,1,0,0,0,7,0,02.mars,02.mars,04.janv,06.avr,13,138,37,0.00,0.04,0.04,0.00,0.04,0.09,0.15,0.24,0.09,0.24
Gary Cahill,eng ENG,DF,Chelsea,31,1985,27,24,2 086,23.févr,0,0,0,0,0,0,1,1,0.5,0.5,0.1,0.6,17,69,8,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Dominic Calvert-Lewin,eng ENG,FW,Everton,20,1997,32,18,1 882,20.sept,4,6,10,4,0,0,4,0,04.sept,04.août,02.juin,07.avr,42,27,125,0.19,0.29,0.48,0.19,0.48,0.23,0.12,0.36,0.23,0.36
Geoff Cameron,us USA,DF MF,Stoke City,32,1985,20,17,1 525,16.sept,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.5,9,48,15,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Tyrese Campbell,eng ENG,FW,Stoke City,17,1999,4,0,79,0.9,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,4,4,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.24,0.24,0.24
Emre Can,de GER,MF,Liverpool,23,1994,26,24,2 091,23.févr,3,4,7,3,0,0,8,0,01.août,01.août,3.0,04.août,84,137,48,0.13,0.17,0.30,0.13,0.30,0.08,0.13,0.21,0.08,0.21
Étienne Capoue,fr FRA,MF,Watford,29,1988,23,18,1 542,17.janv,1,0,1,1,0,0,3,0,0.8,0.8,0.6,01.avr,8,74,22,0.06,0.00,0.06,0.06,0.06,0.05,0.03,0.08,0.05,0.08
Michael Carrick,eng ENG,MF,Manchester Utd,36,1981,2,1,109,01.févr,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,0,15,1,0.00,0.00,0.00,0.00,0.00,0.43,0.05,0.48,0.43,0.48
André Carrillo,pe PER,FW MF,Watford,26,1991,28,16,1 54,17.janv,1,2,3,1,0,0,2,0,02.mars,02.mars,02.août,05.janv,71,72,97,0.06,0.12,0.18,0.06,0.18,0.14,0.16,0.30,0.14,0.30
Guido Carrillo,ar ARG,FW,Southampton,26,1991,7,5,450,5.0,0,1,1,0,0,0,0,0,0.7,0.7,0.4,1.0,3,8,32,0.00,0.20,0.20,0.00,0.20,0.13,0.08,0.21,0.13,0.21
Andy Carroll,eng ENG,FW,West Ham,28,1989,16,7,750,08.mars,3,0,3,3,0,0,7,1,01.août,01.août,0.5,02.avr,6,11,42,0.36,0.00,0.36,0.36,0.36,0.22,0.06,0.28,0.22,0.28
Tom Carroll,eng ENG,MF,Swansea City,25,1992,37,28,2 57,28.juin,0,4,4,0,0,0,3,0,0.9,0.9,04.janv,5.0,54,179,57,0.00,0.14,0.14,0.00,0.14,0.03,0.14,0.18,0.03,0.18
Craig Cathcart,nir NIR,DF,Watford,28,1989,7,5,523,05.août,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,11,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Petr Čech,cz CZE,GK,Arsenal,35,1982,34,34,3 039,33.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nacer Chadli,be BEL,FW MF,West Brom,27,1989,5,2,260,02.sept,1,0,1,1,0,0,1,0,0.2,0.2,0.1,0.3,4,7,8,0.35,0.00,0.35,0.35,0.35,0.08,0.04,0.11,0.08,0.11
Nathaniel Chalobah,eng ENG,MF,Watford,22,1994,6,5,447,5.0,0,0,0,0,0,0,1,0,0.8,0.8,0.0,0.9,7,22,14,0.00,0.00,0.00,0.00,0.00,0.17,0.01,0.18,0.17,0.18
