,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,
Georges-Kévin N'Koudou,cm CMR,MF,Tottenham,22,1995,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,
Georges-Kévin N'Koudou,cm CMR,MF FW,Burnley,22,1995,8,2,228,02.mai,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.2,13,5,15,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08
Luciano Narsingh,nl NED,FW MF,Swansea City,26,1990,18,5,625,06.sept,1,0,1,1,0,0,0,0,0.8,0.8,01.janv,2.0,30,15,73,0.14,0.00,0.14,0.14,0.14,0.12,0.16,0.28,0.12,0.28
Kyle Naughton,eng ENG,DF,Swansea City,28,1988,34,34,3 03,33.7,0,2,2,0,0,0,1,0,0.4,0.4,0.5,0.8,50,193,88,0.00,0.06,0.06,0.00,0.06,0.01,0.01,0.03,0.01,0.03
Badou Ndiaye,sn SEN,MF,Stoke City,26,1990,13,13,1 138,12.juin,2,1,3,2,0,0,5,0,01.juin,01.juin,0.3,01.sept,12,46,20,0.16,0.08,0.24,0.16,0.24,0.13,0.02,0.15,0.13,0.15
Wilfred Ndidi,ng NGA,MF,Leicester City,20,1996,33,33,2 896,32.2,0,3,3,0,0,0,10,4,02.janv,02.janv,0.6,02.juin,30,136,48,0.00,0.09,0.09,0.00,0.09,0.06,0.02,0.08,0.06,0.08
Reiss Nelson,eng ENG,FW MF,Arsenal,17,1999,3,2,145,01.juin,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,8,13,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08
Julien Ngoy,be BEL,MF,Stoke City,19,1997,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Oumar Niasse,sn SEN,FW,Everton,27,1990,22,10,1 087,12.janv,8,2,10,8,0,0,2,0,7.0,7.0,01.avr,08.avr,21,17,106,0.66,0.17,0.83,0.66,0.83,0.58,0.11,0.69,0.58,0.69
Eddie Nketiah,eng ENG,FW,Arsenal,18,1999,3,0,20,0.2,0,1,1,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.00,avr.50,avr.50,0.00,avr.50,0.29,0.00,0.29,0.29,0.29
Lukas Nmecha,de GER,FW,Manchester City,18,1998,2,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mark Noble,eng ENG,MF,West Ham,30,1987,29,28,2 4,26.juil,4,0,4,2,2,2,6,0,02.avr,0.8,01.août,02.juin,10,143,25,0.15,0.00,0.15,0.07,0.07,0.09,0.07,0.16,0.03,0.10
Allan Nyom,cm CMR,DF,West Brom,29,1988,29,25,2 31,25.juil,0,1,1,0,0,0,7,0,0.1,0.1,01.janv,01.févr,36,58,71,0.00,0.04,0.04,0.00,0.04,0.00,0.04,0.05,0.00,0.05
Aiden O'Neill,au AUS,MF,Burnley,19,1998,1,0,1,0.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,
Michael Obafemi,ie IRL,FW,Southampton,17,2000,1,0,9,0.1,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,0,1,0.00,0.00,0.00,0.00,0.00,mars.73,0.00,mars.73,mars.73,mars.73
Pedro Obiang,gq EQG,MF,West Ham,25,1992,21,18,1 563,17.avr,2,0,2,2,0,0,3,0,0.4,0.4,0.4,0.8,10,77,10,0.12,0.00,0.12,0.12,0.12,0.02,0.02,0.04,0.02,0.04
Angelo Ogbonna,it ITA,DF,West Ham,29,1988,32,32,2 88,32.0,1,0,1,1,0,0,3,0,0.7,0.7,0.5,01.janv,4,44,4,0.03,0.00,0.03,0.03,0.03,0.02,0.01,0.04,0.02,0.04
Stefano Okaka,it ITA,FW,Watford,27,1989,15,3,453,5.0,1,1,2,1,0,0,2,0,01.août,01.août,0.4,02.févr,8,10,48,0.20,0.20,0.40,0.20,0.40,0.36,0.07,0.43,0.36,0.43
Shinji Okazaki,jp JPN,FW MF,Leicester City,31,1986,27,17,1 324,14.juil,6,2,8,6,0,0,2,0,06.juil,06.juil,2.0,08.juil,19,24,61,0.41,0.14,0.54,0.41,0.54,0.45,0.14,0.59,0.45,0.59
Martin Olsson,se SWE,DF,Swansea City,29,1988,36,36,3 149,35.0,0,1,1,0,0,0,7,0,0.9,0.9,0.8,01.juil,112,87,143,0.00,0.03,0.03,0.00,0.03,0.03,0.02,0.05,0.03,0.05
Divock Origi,be BEL,FW,Liverpool,22,1995,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
David Ospina,co COL,GK,Arsenal,28,1988,5,4,381,04.févr,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nicolás Otamendi,ar ARG,DF,Manchester City,29,1988,34,33,2 967,33.0,4,0,4,4,0,0,9,0,02.juil,02.juil,0.9,03.juin,92,212,8,0.12,0.00,0.12,0.12,0.12,0.08,0.03,0.11,0.08,0.11
Reece Oxford,eng ENG,MF,West Ham,18,1998,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alex Oxlade-Chamberlain,eng ENG,DF,Arsenal,23,1993,3,3,241,02.juil,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.8,19,16,21,0.00,0.00,0.00,0.00,0.00,0.09,0.19,0.29,0.09,0.29
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Alex Oxlade-Chamberlain,eng ENG,MF FW,Liverpool,23,1993,32,14,1 493,16.juin,3,7,10,3,0,0,3,0,02.févr,02.févr,03.août,05.sept,76,120,122,0.18,0.42,0.60,0.18,0.60,0.13,0.23,0.36,0.13,0.36
Mesut Özil,de GER,MF FW,Arsenal,28,1988,26,24,2 163,24.0,4,8,12,4,0,0,4,0,04.avr,04.avr,08.juil,13.janv,136,277,267,0.17,0.33,0.50,0.17,0.50,0.18,0.36,0.55,0.18,0.55
Kasey Palmer,jm JAM,MF FW,Huddersfield,20,1996,4,1,170,01.sept,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,4,6,5,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09
Emerson Palmieri,it ITA,DF,Chelsea,22,1994,5,3,280,03.janv,0,1,1,0,0,0,0,0,0.1,0.1,0.0,0.2,13,5,23,0.00,0.32,0.32,0.00,0.32,0.04,0.01,0.05,0.04,0.05
Pedro,es ESP,MF FW,Chelsea,30,1987,31,17,1 523,16.sept,4,2,6,4,0,0,1,0,3.0,3.0,01.mars,04.mars,66,56,135,0.24,0.12,0.35,0.24,0.35,0.18,0.07,0.25,0.18,0.25
Roberto Pereyra,ar ARG,MF FW,Watford,26,1991,32,18,1 624,18.0,5,2,7,5,0,0,3,0,03.mars,03.mars,3.0,06.mars,61,79,112,0.28,0.11,0.39,0.28,0.39,0.18,0.17,0.35,0.18,0.35
Ayoze Pérez,es ESP,MF FW,Newcastle Utd,24,1993,36,28,2 492,27.juil,8,5,13,8,0,0,3,0,06.févr,06.févr,04.juil,10.sept,68,75,178,0.29,0.18,0.47,0.29,0.47,0.22,0.17,0.39,0.22,0.39
Matt Phillips,sct SCO,MF DF,West Brom,26,1991,30,23,2 093,23.mars,2,2,4,2,0,0,3,0,02.avr,02.avr,04.janv,06.mai,85,31,146,0.09,0.09,0.17,0.09,0.17,0.10,0.18,0.28,0.10,0.28
Jordan Pickford,eng ENG,GK,Everton,23,1994,38,38,3 42,38.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jérémy Pied,fr FRA,DF,Southampton,28,1989,2,2,180,2.0,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,7,13,5,0.00,0.50,0.50,0.00,0.50,0.02,0.08,0.10,0.02,0.10
Erik Pieters,nl NED,DF,Stoke City,28,1988,31,30,2 718,30.2,0,1,1,0,0,0,5,0,0.1,0.1,01.mai,01.juin,35,113,71,0.00,0.03,0.03,0.00,0.03,0.00,0.05,0.05,0.00,0.05
Paul Pogba,fr FRA,MF,Manchester Utd,24,1993,27,25,2 148,23.sept,6,10,16,6,0,0,5,1,07.juil,07.juil,04.mai,12.févr,95,250,92,0.25,0.42,0.67,0.25,0.67,0.32,0.19,0.51,0.32,0.51
Nick Pope,eng ENG,GK,Burnley,25,1992,35,34,3 115,34.6,0,0,0,0,0,0,3,0,0.0,0.0,0.5,0.5,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Alex Pritchard,eng ENG,MF FW,Huddersfield,24,1993,14,12,998,11.janv,1,1,2,1,0,0,1,0,01.févr,01.févr,01.sept,03.janv,24,44,70,0.09,0.09,0.18,0.09,0.18,0.11,0.17,0.28,0.11,0.28
Sebastian Prödl,at AUT,DF,Watford,30,1987,21,17,1 57,17.avr,0,0,0,0,0,0,5,0,0.6,0.6,0.2,0.9,4,40,2,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05
Davy Pröpper,nl NED,MF,Brighton,25,1991,35,35,3 119,34.7,0,4,4,0,0,0,2,1,01.sept,01.sept,01.avr,03.avr,20,188,47,0.00,0.12,0.12,0.00,0.12,0.06,0.04,0.10,0.06,0.10
Marc Pugh,eng ENG,MF FW,Bournemouth,30,1987,20,11,985,10.sept,0,0,0,0,0,0,2,0,01.mars,01.mars,0.5,01.sept,40,52,103,0.00,0.00,0.00,0.00,0.00,0.12,0.05,0.17,0.12,0.17
Jason Puncheon,eng ENG,MF,Crystal Palace,31,1986,10,6,571,06.mars,0,0,0,0,0,0,5,0,01.févr,01.févr,0.5,01.juil,8,31,19,0.00,0.00,0.00,0.00,0.00,0.19,0.07,0.26,0.19,0.26
Collin Quaner,de GER,FW MF,Huddersfield,26,1991,26,13,1 28,14.févr,0,4,4,0,0,0,4,0,01.avr,01.avr,02.mai,03.sept,56,44,85,0.00,0.28,0.28,0.00,0.28,0.10,0.18,0.28,0.10,0.28
Sandro Ramírez,es ESP,FW MF,Everton,22,1995,8,3,278,03.janv,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,1,8,21,0.00,0.00,0.00,0.00,0.00,0.15,0.01,0.16,0.15,0.16
Aaron Ramsey,wls WAL,MF,Arsenal,26,1990,24,21,1 846,20.mai,7,8,15,7,0,0,0,0,06.janv,06.janv,05.avr,11.mai,61,134,161,0.34,0.39,0.73,0.34,0.73,0.30,0.26,0.56,0.30,0.56
Àngel Rangel,es ESP,DF,Swansea City,34,1982,4,2,156,01.juil,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,6,11,11,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04
Marcus Rashford,eng ENG,FW MF,Manchester Utd,19,1997,35,17,1 813,20.janv,7,5,12,7,0,0,3,0,05.févr,05.févr,03.août,9.0,82,46,160,0.35,0.25,0.60,0.35,0.60,0.26,0.19,0.45,0.26,0.45
Nathan Redmond,eng ENG,FW MF,Southampton,23,1994,31,22,1 945,21.juin,1,3,4,1,0,0,3,0,02.févr,02.févr,03.juin,05.août,84,94,182,0.05,0.14,0.19,0.05,0.19,0.10,0.17,0.27,0.10,0.27
Winston Reid,nz NZL,DF,West Ham,29,1988,17,17,1 452,16.janv,0,0,0,0,0,0,5,0,0.3,0.3,0.3,0.5,3,39,6,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Declan Rice,eng ENG,DF MF,West Ham,18,1999,26,15,1 43,15.sept,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,18,36,6,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02
Richarlison,br BRA,FW MF,Watford,20,1997,38,32,2 823,31.4,5,4,9,5,0,0,4,0,10.mars,10.mars,03.avr,13.juil,126,73,306,0.16,0.13,0.29,0.16,0.29,0.33,0.11,0.44,0.33,0.44
Jaïro Riedewald,nl NED,MF DF,Crystal Palace,20,1996,12,4,442,04.sept,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,16,7,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
Matt Ritchie,sct SCO,MF FW,Newcastle Utd,27,1989,35,32,2 804,31.2,3,5,8,3,0,0,6,0,03.janv,03.janv,6.0,09.janv,53,93,139,0.10,0.16,0.26,0.10,0.26,0.10,0.19,0.29,0.10,0.29
Connor Roberts,wls WAL,DF,Swansea City,21,1995,4,3,268,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,11,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Andrew Robertson,sct SCO,DF,Liverpool,23,1994,22,22,1 94,21.juin,1,5,6,1,0,0,2,0,0.5,0.5,04.janv,04.juil,76,150,214,0.05,0.23,0.28,0.05,0.28,0.03,0.19,0.22,0.03,0.22
Hal Robson-Kanu,wls WAL,FW MF,West Brom,28,1989,21,8,827,09.févr,2,0,2,2,0,0,2,1,02.avr,02.avr,0.4,02.août,17,24,63,0.22,0.00,0.22,0.22,0.22,0.26,0.04,0.31,0.26,0.31
Jay Rodriguez,eng ENG,FW MF,West Brom,28,1989,37,31,2 812,31.2,7,1,8,6,1,1,2,0,08.avr,07.juin,01.juin,09.févr,47,52,166,0.22,0.03,0.26,0.19,0.22,0.27,0.05,0.32,0.24,0.30
Marcos Rojo,ar ARG,DF,Manchester Utd,27,1990,9,8,640,07.janv,0,0,0,0,0,0,6,0,0.2,0.2,0.1,0.2,3,13,1,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
Sergio Romero,ar ARG,GK,Manchester Utd,30,1987,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Oriol Romeu,es ESP,MF,Southampton,25,1991,34,34,2 897,32.2,1,0,1,1,0,0,11,0,02.juin,02.juin,01.avr,4.0,44,201,16,0.03,0.00,0.03,0.03,0.03,0.08,0.04,0.13,0.08,0.13
Salomón Rondón,ve VEN,FW,West Brom,27,1989,36,32,2 767,30.juil,7,3,10,7,0,0,4,0,7.0,7.0,02.août,09.août,45,66,201,0.23,0.10,0.33,0.23,0.33,0.23,0.09,0.32,0.23,0.32
Wayne Rooney,eng ENG,MF FW,Everton,31,1985,31,27,2 268,25.févr,10,2,12,7,3,6,5,0,08.juin,03.août,02.févr,6.0,26,122,91,0.40,0.08,0.48,0.28,0.36,0.34,0.09,0.43,0.15,0.24
Danny Rose,eng ENG,DF,Tottenham,27,1990,10,9,800,08.sept,0,1,1,0,0,0,4,0,0.6,0.6,0.6,01.févr,36,56,77,0.00,0.11,0.11,0.00,0.11,0.07,0.07,0.14,0.07,0.14
Liam Rosenior,eng ENG,DF,Brighton,33,1984,3,1,164,01.août,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,5,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Wayne Routledge,eng ENG,MF FW,Swansea City,32,1985,15,4,429,04.août,0,0,0,0,0,0,1,0,0.4,0.4,0.4,0.8,9,17,36,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.17,0.09,0.17
Antonio Rüdiger,de GER,DF,Chelsea,24,1993,27,25,2 338,26.0,2,1,3,2,0,0,4,0,01.juil,01.juil,0.4,02.janv,33,121,7,0.08,0.04,0.12,0.08,0.12,0.07,0.01,0.08,0.07,0.08
Mathew Ryan,au AUS,GK,Brighton,25,1992,38,38,3 42,38.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Abdelhamid Sabiri,ma MAR,MF,Huddersfield,20,1996,5,2,220,02.avr,0,1,1,0,0,0,1,0,0.3,0.3,0.1,0.4,2,13,8,0.00,0.41,0.41,0.00,0.41,0.11,0.06,0.17,0.11,0.17
Henri Saivet,sn SEN,MF,Newcastle Utd,26,1990,1,1,83,0.9,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,0,1,0,01.août,0.00,01.août,01.août,01.août,0.05,0.00,0.05,0.05,0.05
Diafra Sakho,sn SEN,FW,West Ham,27,1989,14,0,306,03.avr,2,0,2,2,0,0,2,0,01.avr,01.avr,0.1,01.mai,4,6,22,0.59,0.00,0.59,0.59,0.59,0.42,0.02,0.43,0.42,0.43
Mamadou Sakho,fr FRA,DF,Crystal Palace,27,1990,19,18,1 6,17.août,1,2,3,1,0,0,1,0,01.févr,01.févr,01.janv,02.mars,4,43,3,0.06,0.11,0.17,0.06,0.17,0.07,0.06,0.13,0.07,0.13
Bakary Sako,ml MLI,FW MF,Crystal Palace,29,1988,16,4,478,05.mars,3,0,3,3,0,0,0,0,01.sept,01.sept,01.janv,3.0,20,8,43,0.56,0.00,0.56,0.56,0.56,0.36,0.20,0.56,0.36,0.56
Mohamed Salah,eg EGY,FW,Liverpool,25,1992,36,34,2 907,32.3,32,10,42,31,1,2,1,0,24.janv,22.juin,07.mai,30.janv,95,97,393,0.99,0.31,janv.30,0.96,janv.27,0.75,0.23,0.98,0.70,0.93
Renato Sanches,pt POR,MF,Swansea City,19,1997,12,9,702,07.août,0,0,0,0,0,0,1,0,0.5,0.5,0.3,0.8,32,45,33,0.00,0.00,0.00,0.00,0.00,0.06,0.04,0.10,0.06,0.10
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Alexis Sánchez,cl CHI,MF FW,Arsenal,28,1988,19,17,1 503,16.juil,7,3,10,6,1,1,4,0,08.janv,07.mars,04.sept,12.févr,50,149,218,0.42,0.18,0.60,0.36,0.54,0.49,0.29,0.78,0.44,0.73
Alexis Sánchez,cl CHI,FW MF,Manchester Utd,28,1988,12,12,1 043,11.juin,2,3,5,2,0,1,1,0,02.juil,01.août,02.avr,04.mars,29,70,102,0.17,0.26,0.43,0.17,0.43,0.23,0.21,0.44,0.16,0.37
Davinson Sánchez,co COL,DF,Tottenham,21,1996,31,29,2 534,28.févr,0,0,0,0,0,0,1,1,0.5,0.5,0.1,0.7,8,82,2,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Leroy Sané,de GER,FW,Manchester City,21,1996,32,27,2 419,26.sept,10,15,25,10,0,0,4,0,05.août,05.août,06.août,12.mai,102,68,416,0.37,0.56,0.93,0.37,0.93,0.21,0.25,0.47,0.21,0.47
Ezequiel Schelotto,it ITA,DF,Brighton,28,1989,20,15,1 318,14.juin,0,0,0,0,0,0,3,0,0.2,0.2,0.6,0.8,37,48,53,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06
Christopher Schindler,de GER,DF,Huddersfield,27,1990,37,37,3 265,36.3,0,1,1,0,0,0,8,1,01.janv,01.janv,02.mars,03.avr,11,80,6,0.00,0.03,0.03,0.00,0.03,0.03,0.06,0.09,0.03,0.09
Jeffrey Schlupp,gh GHA,DF MF,Crystal Palace,24,1992,24,21,1 745,19.avr,0,1,1,0,0,0,3,0,01.févr,01.févr,1.0,02.févr,32,74,51,0.00,0.05,0.05,0.00,0.05,0.06,0.05,0.12,0.06,0.12
Kasper Schmeichel,dk DEN,GK,Leicester City,30,1986,33,33,2 965,32.9,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,0,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Morgan Schneiderlin,fr FRA,MF,Everton,27,1989,30,24,2 13,23.juil,0,0,0,0,0,0,6,1,0.4,0.4,0.2,0.6,15,106,8,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
Xherdan Shaqiri,ch SUI,MF FW,Stoke City,25,1991,36,36,3 039,33.8,8,7,15,8,0,1,5,0,5.0,04.févr,07.janv,11.mars,81,161,183,0.24,0.21,0.44,0.24,0.44,0.15,0.21,0.36,0.12,0.33
Luke Shaw,eng ENG,DF,Manchester Utd,22,1995,11,8,790,08.août,0,0,0,0,0,0,2,0,0.4,0.4,0.4,0.8,34,48,35,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09
Ryan Shawcross,eng ENG,DF,Stoke City,29,1987,27,27,2 371,26.mars,1,1,2,1,0,0,2,0,02.mai,02.mai,0.3,02.août,5,46,9,0.04,0.04,0.08,0.04,0.08,0.09,0.01,0.11,0.09,0.11
Jonjo Shelvey,eng ENG,MF,Newcastle Utd,25,1992,30,25,2 268,25.févr,1,3,4,1,0,0,4,3,02.avr,02.avr,02.mai,04.sept,31,183,23,0.04,0.12,0.16,0.04,0.16,0.09,0.10,0.19,0.09,0.19
Gylfi Sigurðsson,is ISL,MF FW,Everton,27,1989,27,25,2 259,25.janv,4,3,7,4,0,0,2,0,3.0,3.0,03.sept,06.sept,29,77,110,0.16,0.12,0.28,0.16,0.28,0.12,0.16,0.28,0.12,0.28
