,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,
Adrien Silva,pt POR,MF,Leicester City,28,1989,12,9,761,08.mai,0,1,1,0,0,0,3,0,0.3,0.3,0.8,01.janv,12,55,15,0.00,0.12,0.12,0.00,0.12,0.04,0.10,0.14,0.04,0.14
Bernardo Silva,pt POR,FW MF,Manchester City,22,1994,35,15,1 533,17.0,6,4,10,6,0,0,0,0,03.août,03.mai,02.août,06.mars,80,80,218,0.35,0.23,0.59,0.35,0.59,0.22,0.16,0.39,0.20,0.37
David Silva,es ESP,MF,Manchester City,31,1986,29,28,2 43,27.0,9,11,20,9,0,0,5,0,07.févr,07.févr,08.avr,15.juin,158,337,247,0.33,0.41,0.74,0.33,0.74,0.27,0.31,0.58,0.27,0.58
Danny Simpson,eng ENG,DF,Leicester City,30,1987,28,27,2 306,25.juin,0,0,0,0,0,0,4,0,0.2,0.2,0.1,0.3,11,54,47,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01
Jack Simpson,eng ENG,DF,Bournemouth,20,1996,1,1,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Josh Sims,eng ENG,FW MF,Southampton,20,1997,6,1,163,01.août,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.7,10,4,17,0.00,0.00,0.00,0.00,0.00,0.34,0.07,0.41,0.34,0.41
Jerome Sinclair,eng ENG,MF FW,Watford,20,1996,4,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13
Moussa Sissoko,fr FRA,MF FW,Tottenham,27,1989,33,15,1 402,15.juin,1,1,2,1,0,0,3,0,02.févr,02.févr,02.févr,04.avr,50,85,102,0.06,0.06,0.13,0.06,0.13,0.14,0.14,0.28,0.14,0.28
Islam Slimani,dz ALG,FW,Leicester City,29,1988,12,2,249,02.août,1,1,2,1,0,0,0,0,01.mai,01.mai,0.2,01.juil,5,7,25,0.36,0.36,0.72,0.36,0.72,0.55,0.07,0.63,0.55,0.63
Islam Slimani,dz ALG,FW,Newcastle Utd,29,1988,4,1,132,01.mai,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.4,3,2,19,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.28,0.00,0.28
Chris Smalling,eng ENG,DF,Manchester Utd,27,1989,29,28,2 536,28.févr,4,0,4,4,0,0,4,0,01.juil,01.juil,0.2,2.0,5,37,8,0.14,0.00,0.14,0.14,0.14,0.06,0.01,0.07,0.06,0.07
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Adam Smith,eng ENG,DF MF,Bournemouth,26,1991,27,22,2 071,23.0,1,3,4,1,0,0,6,0,0.5,0.5,01.juin,02.janv,56,90,99,0.04,0.13,0.17,0.04,0.17,0.02,0.07,0.09,0.02,0.09
Tommy Smith,eng ENG,DF,Huddersfield,25,1992,24,21,1 904,21.févr,0,1,1,0,0,0,7,0,0.2,0.2,01.août,2.0,36,56,86,0.00,0.05,0.05,0.00,0.05,0.01,0.09,0.09,0.01,0.09
Cédric Soares,pt POR,DF,Southampton,25,1991,32,32,2 794,31.0,0,3,3,0,0,0,3,0,0.7,0.7,03.janv,03.sept,52,139,151,0.00,0.10,0.10,0.00,0.10,0.02,0.10,0.12,0.02,0.12
Ramadan Sobhi,eg EGY,MF FW,Stoke City,20,1997,24,12,1 238,13.août,2,0,2,2,0,0,2,0,01.févr,01.févr,1.0,02.févr,58,38,102,0.15,0.00,0.15,0.15,0.15,0.09,0.07,0.16,0.09,0.16
Dominic Solanke,eng ENG,FW,Liverpool,19,1997,21,5,596,06.juin,1,1,2,1,0,0,0,0,03.mai,03.mai,02.juin,06.janv,15,15,48,0.15,0.15,0.30,0.15,0.30,0.53,0.40,0.92,0.53,0.92
Pape Souaré,sn SEN,DF,Crystal Palace,27,1990,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Julián Speroni,ar ARG,GK,Crystal Palace,38,1979,11,11,990,11.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kostas Stafylidis,gr GRE,DF MF,Stoke City,23,1993,5,4,335,03.juil,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,3,8,3,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.05,0.03,0.05
Junior Stanislas,eng ENG,MF FW,Bournemouth,27,1989,19,17,1 286,14.mars,5,2,7,4,1,1,1,0,03.sept,03.janv,01.sept,5.0,36,63,100,0.35,0.14,0.49,0.28,0.42,0.27,0.13,0.40,0.22,0.35
Dale Stephens,eng ENG,MF,Brighton,28,1989,36,36,3 24,36.0,0,3,3,0,0,0,6,0,01.févr,01.févr,02.mars,03.mai,31,191,13,0.00,0.08,0.08,0.00,0.08,0.03,0.06,0.10,0.03,0.10
Jack Stephens,eng ENG,DF,Southampton,23,1994,22,22,1 98,22.0,2,0,2,2,0,0,6,1,01.mars,01.mars,0.2,01.juin,24,45,14,0.09,0.00,0.09,0.09,0.09,0.06,0.01,0.07,0.06,0.07
Raheem Sterling,eng ENG,FW,Manchester City,22,1994,33,29,2 586,28.juil,18,11,29,17,1,1,5,2,16.févr,15.mars,07.mars,22.juin,116,94,410,0.63,0.38,01.janv,0.59,0.97,0.56,0.25,0.82,0.53,0.79
John Stones,eng ENG,DF,Manchester City,23,1994,18,16,1 302,14.mai,0,0,0,0,0,0,0,0,0.8,0.8,0.0,0.8,11,71,7,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
Daniel Sturridge,eng ENG,FW,West Brom,27,1989,6,2,118,01.mars,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.4,3,6,8,0.00,0.00,0.00,0.00,0.00,0.10,0.17,0.27,0.10,0.27
Daniel Sturridge,eng ENG,FW,Liverpool,27,1989,9,5,431,04.août,2,1,3,2,0,0,0,0,02.mars,02.mars,0.8,03.févr,11,16,53,0.42,0.21,0.63,0.42,0.63,0.49,0.17,0.66,0.49,0.66
Ki Sung-yueng,kr KOR,MF,Swansea City,28,1989,25,21,1 868,20.août,2,2,4,2,0,0,2,0,0.9,0.9,01.mai,02.avr,17,64,30,0.10,0.10,0.19,0.10,0.19,0.05,0.07,0.12,0.05,0.12
Andrew Surman,eng ENG,MF,Bournemouth,30,1986,25,20,1 856,20.juin,2,5,7,2,0,0,2,0,01.févr,01.févr,1.0,02.févr,10,134,14,0.10,0.24,0.34,0.10,0.34,0.06,0.05,0.11,0.06,0.11
Markus Suttner,at AUT,DF,Brighton,30,1987,14,13,1 179,13.janv,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,17,56,32,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
Lasse Sørensen,dk DEN,MF,Stoke City,17,1999,1,1,75,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18,0.00,0.18
Alexander Sørloth,no NOR,FW,Crystal Palace,21,1995,4,4,360,4.0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,13,7,24,0.00,0.00,0.00,0.00,0.00,0.13,0.12,0.25,0.13,0.25
Dušan Tadić,rs SRB,MF FW,Southampton,28,1988,36,34,2 791,31.0,6,3,9,5,1,1,4,0,05.août,5.0,05.juil,10.juil,113,167,312,0.19,0.10,0.29,0.16,0.26,0.19,0.18,0.37,0.16,0.35
Matt Targett,eng ENG,DF,Southampton,21,1995,2,2,166,01.août,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,5,6,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06
James Tarkowski,eng ENG,DF,Burnley,24,1992,31,31,2 79,31.0,0,0,0,0,0,0,5,0,01.avr,01.avr,0.8,02.févr,5,59,8,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.07,0.05,0.07
Charlie Taylor,eng ENG,DF,Burnley,23,1993,11,10,950,10.juin,0,0,0,0,0,0,3,0,0.0,0.0,0.2,0.2,19,23,21,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
James Tomkins,eng ENG,DF,Crystal Palace,28,1989,28,27,2 387,26.mai,3,0,3,3,0,0,8,0,02.févr,02.févr,0.1,02.mars,6,45,3,0.11,0.00,0.11,0.11,0.11,0.08,0.00,0.09,0.08,0.09
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Cenk Tosun,tr TUR,FW,Everton,26,1991,14,12,986,11.0,5,0,5,5,0,0,0,0,02.août,02.août,01.avr,04.févr,9,9,69,0.46,0.00,0.46,0.46,0.46,0.25,0.13,0.38,0.25,0.38
Yaya Touré,ci CIV,MF,Manchester City,34,1983,10,1,236,02.juin,0,2,2,0,0,0,1,0,0.4,0.4,0.9,01.mars,20,50,4,0.00,0.76,0.76,0.00,0.76,0.14,0.35,0.49,0.14,0.49
Andros Townsend,eng ENG,FW MF,Crystal Palace,26,1991,36,35,3 12,34.7,2,7,9,2,0,0,3,0,3.0,3.0,07.févr,10.févr,161,104,249,0.06,0.20,0.26,0.06,0.26,0.09,0.21,0.30,0.09,0.30
Kieran Trippier,eng ENG,DF,Tottenham,26,1990,24,21,1 914,21.mars,0,5,5,0,0,0,1,0,0.4,0.4,04.févr,04.juin,37,114,195,0.00,0.24,0.24,0.00,0.24,0.02,0.20,0.22,0.02,0.22
Axel Tuanzebe,cd COD,FW,Manchester Utd,19,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Josh Tymon,eng ENG,DF,Stoke City,18,1999,3,2,163,01.août,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,6,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Leonardo Ulloa,ar ARG,FW,Leicester City,31,1986,4,0,22,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,1,2,2,0.00,0.00,0.00,0.00,0.00,0.31,janv.38,janv.69,0.31,janv.69
Leonardo Ulloa,ar ARG,FW,Brighton,31,1986,10,2,267,3.0,1,0,1,1,0,0,0,0,0.7,0.7,0.2,1.0,1,15,16,0.34,0.00,0.34,0.34,0.34,0.25,0.08,0.33,0.25,0.33
Antonio Valencia,ec ECU,DF,Manchester Utd,31,1985,31,31,2 74,30.avr,3,1,4,3,0,0,7,0,0.5,0.5,01.févr,01.juil,103,84,152,0.10,0.03,0.13,0.10,0.13,0.02,0.04,0.06,0.02,0.06
Virgil van Dijk,nl NED,DF,Southampton,26,1991,12,11,994,11.0,0,0,0,0,0,0,0,0,0.9,0.9,1.0,2.0,17,42,8,0.00,0.00,0.00,0.00,0.00,0.08,0.09,0.18,0.08,0.18
Virgil van Dijk,nl NED,DF,Liverpool,26,1991,14,14,1 26,14.0,0,0,0,0,0,0,1,0,01.févr,01.févr,01.févr,02.mars,11,82,6,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.16,0.08,0.16
Jamie Vardy,eng ENG,FW,Leicester City,30,1987,37,37,3 247,36.1,20,1,21,15,5,6,3,0,16.janv,11.mars,3.0,14.mars,51,31,211,0.55,0.03,0.58,0.42,0.44,0.45,0.08,0.53,0.31,0.40
Jan Vertonghen,be BEL,DF,Tottenham,30,1987,36,36,3 203,35.6,0,0,0,0,0,0,4,0,1.0,1.0,0.8,01.juil,68,243,29,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05
Nikola Vlašić,hr CRO,MF FW,Everton,19,1997,12,7,576,06.avr,0,0,0,0,0,0,0,0,0.3,0.3,0.8,01.janv,22,16,49,0.00,0.00,0.00,0.00,0.00,0.04,0.12,0.16,0.04,0.16
Sam Vokes,wls WAL,FW,Burnley,27,1989,30,7,998,11.janv,4,1,5,4,0,0,3,0,02.août,02.août,01.mars,04.févr,3,17,62,0.36,0.09,0.45,0.36,0.45,0.25,0.12,0.38,0.25,0.38
Michel Vorm,nl NED,GK,Tottenham,33,1983,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Molla Wagué,ml MLI,DF,Watford,26,1991,6,5,438,04.sept,1,0,1,1,0,0,0,0,0.4,0.4,0.0,0.4,0,6,0,0.21,0.00,0.21,0.21,0.21,0.08,0.00,0.08,0.08,0.08
Theo Walcott,eng ENG,FW MF,Arsenal,28,1989,6,0,69,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Theo Walcott,eng ENG,FW,Everton,28,1989,14,13,1 152,12.août,3,3,6,3,0,0,2,0,02.mai,02.mai,02.avr,04.août,35,33,99,0.23,0.23,0.47,0.23,0.47,0.19,0.18,0.38,0.19,0.38
Kyle Walker,eng ENG,DF,Manchester City,27,1990,32,32,2 784,30.sept,0,6,6,0,0,0,4,2,0.6,0.6,04.juin,05.mars,105,221,190,0.00,0.19,0.19,0.00,0.19,0.02,0.15,0.17,0.02,0.17
Kyle Walker-Peters,eng ENG,DF,Tottenham,20,1997,3,2,189,02.janv,0,2,2,0,0,0,0,0,0.0,0.0,01.févr,01.févr,8,8,21,0.00,0.95,0.95,0.00,0.95,0.00,0.59,0.59,0.00,0.59
Jonathan Walters,ie IRL,FW,Burnley,33,1983,3,0,39,0.4,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,1,6,0.00,0.00,0.00,0.00,0.00,0.44,0.00,0.44,0.44,0.44
Aaron Wan-Bissaka,cd COD,DF,Crystal Palace,19,1997,7,7,627,7.0,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,22,23,14,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
Victor Wanyama,ke KEN,MF,Tottenham,26,1991,18,8,846,09.avr,1,0,1,1,0,0,2,0,0.5,0.5,0.2,0.7,23,65,14,0.11,0.00,0.11,0.11,0.11,0.05,0.02,0.07,0.05,0.07
Joel Ward,eng ENG,DF,Crystal Palace,27,1989,19,19,1 613,17.sept,0,1,1,0,0,0,4,0,0.2,0.2,0.9,01.janv,15,79,50,0.00,0.06,0.06,0.00,0.06,0.01,0.05,0.06,0.01,0.06
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Stephen Ward,ie IRL,DF,Burnley,31,1985,28,28,2 46,27.mars,1,1,2,1,0,0,1,0,0.3,0.3,01.avr,01.août,47,87,91,0.04,0.04,0.07,0.04,0.07,0.01,0.05,0.07,0.01,0.07
James Ward-Prowse,eng ENG,FW MF,Southampton,22,1994,30,20,1 716,19.janv,3,3,6,3,0,0,3,0,02.févr,02.févr,02.août,5.0,9,66,102,0.16,0.16,0.31,0.16,0.31,0.11,0.15,0.26,0.11,0.26
Ben Watson,eng ENG,MF,Watford,32,1985,8,6,456,05.janv,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.2,1,24,5,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05
Danny Welbeck,eng ENG,FW MF,Arsenal,26,1990,28,12,1 194,13.mars,5,2,7,5,0,0,1,0,05.mai,05.mai,01.avr,7.0,30,23,117,0.38,0.15,0.53,0.38,0.53,0.42,0.11,0.52,0.42,0.52
Nahki Wells,bm BER,FW MF,Burnley,27,1990,9,0,55,0.6,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,2,1,5,0.00,0.00,0.00,0.00,0.00,0.95,0.00,0.95,0.95,0.95
Ashley Westwood,eng ENG,MF,Burnley,27,1990,19,12,1 111,12.mars,0,1,1,0,0,0,2,0,0.6,0.6,1.0,01.juin,8,69,6,0.00,0.08,0.08,0.00,0.08,0.05,0.08,0.13,0.05,0.13
Dean Whitehead,eng ENG,MF,Huddersfield,35,1982,4,0,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Georginio Wijnaldum,nl NED,MF,Liverpool,26,1990,33,27,2 387,26.mai,1,2,3,1,0,0,1,0,02.août,02.août,01.févr,4.0,49,116,84,0.04,0.08,0.11,0.04,0.11,0.11,0.05,0.15,0.11,0.15
Ashley Williams,wls WAL,DF,Everton,32,1984,24,20,1 834,20.avr,1,0,1,1,0,0,3,1,0.8,0.8,0.3,01.févr,2,39,1,0.05,0.00,0.05,0.05,0.05,0.04,0.02,0.06,0.04,0.06
Danny Williams,us USA,MF,Huddersfield,28,1989,20,11,1 124,12.mai,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.6,17,27,16,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05
Willian,br BRA,MF FW,Chelsea,28,1988,36,20,1 89,21.0,6,7,13,5,1,1,1,0,05.mai,04.juil,05.mars,10.0,108,131,210,0.29,0.33,0.62,0.24,0.57,0.26,0.25,0.51,0.22,0.48
Joe Willock,eng ENG,MF,Arsenal,17,1999,2,1,82,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,3,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09
Jack Wilshere,eng ENG,MF,Arsenal,25,1992,20,12,1 193,13.mars,1,3,4,1,0,0,6,0,01.janv,01.janv,02.juin,03.juil,62,108,39,0.08,0.23,0.30,0.08,0.30,0.08,0.19,0.28,0.08,0.28
Callum Wilson,eng ENG,FW,Bournemouth,25,1992,28,23,1 981,22.0,8,2,10,8,0,0,0,0,07.juin,07.juin,01.mai,09.janv,34,39,170,0.36,0.09,0.45,0.36,0.45,0.34,0.07,0.41,0.34,0.41
Kevin Wimmer,at AUT,DF,Stoke City,24,1992,17,14,1 323,14.juil,0,0,0,0,0,0,5,0,0.1,0.1,0.2,0.3,3,40,1,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.02
Harry Winks,eng ENG,MF,Tottenham,21,1996,16,9,774,08.juin,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.6,14,69,17,0.00,0.12,0.12,0.00,0.12,0.01,0.06,0.07,0.01,0.07
Chris Wood,nz NZL,FW,Burnley,25,1991,24,20,1 624,18.0,10,1,11,10,0,0,1,0,7.0,7.0,0.6,07.juin,15,16,117,0.55,0.06,0.61,0.55,0.61,0.39,0.03,0.42,0.39,0.42
Ben Woodburn,wls WAL,FW,Liverpool,17,1999,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Granit Xhaka,ch SUI,MF,Arsenal,24,1992,38,37,3 26,36.2,1,7,8,1,0,0,10,0,02.avr,02.avr,03.avr,05.août,67,424,64,0.03,0.19,0.22,0.03,0.22,0.07,0.09,0.16,0.07,0.16
Claudio Yacob,ar ARG,MF,West Brom,30,1987,16,9,903,10.0,0,0,0,0,0,0,5,0,0.5,0.5,0.0,0.5,2,28,3,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
DeAndre Yedlin,us USA,DF,Newcastle Utd,24,1993,34,31,2 845,31.6,0,2,2,0,0,0,5,0,0.2,0.2,2.0,02.févr,44,74,128,0.00,0.06,0.06,0.00,0.06,0.00,0.06,0.07,0.00,0.07
Maya Yoshida,jp JPN,DF,Southampton,28,1988,24,23,2 051,22.août,2,0,2,2,0,0,4,1,2.0,2.0,0.4,02.avr,7,58,6,0.09,0.00,0.09,0.09,0.09,0.09,0.02,0.11,0.09,0.11
Ashley Young,eng ENG,DF,Manchester Utd,32,1985,30,28,2 442,27.janv,2,4,6,2,0,0,7,0,0.8,0.8,03.juin,04.avr,90,103,113,0.07,0.15,0.22,0.07,0.22,0.03,0.13,0.16,0.03,0.16
Pablo Zabaleta,ar ARG,DF MF,West Ham,32,1985,37,37,3 289,36.5,0,1,1,0,0,0,9,0,0.4,0.4,0.9,01.mars,26,145,95,0.00,0.03,0.03,0.00,0.03,0.01,0.03,0.04,0.01,0.04
Wilfried Zaha,ci CIV,FW MF,Crystal Palace,24,1992,29,28,2 549,28.mars,9,3,12,9,0,0,5,0,09.févr,09.févr,04.juil,13.sept,173,96,283,0.32,0.11,0.42,0.32,0.42,0.33,0.17,0.49,0.33,0.49
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Davide Zappacosta,it ITA,DF MF,Chelsea,25,1992,22,12,1 098,12.févr,1,1,2,1,0,0,0,0,01.avr,01.avr,01.mars,02.juil,64,22,124,0.08,0.08,0.16,0.08,0.16,0.11,0.11,0.22,0.11,0.22
Marvin Zeegelaar,nl NED,DF,Watford,26,1990,12,12,994,11.0,0,1,1,0,0,0,4,1,0.0,0.0,1.0,1.0,30,54,44,0.00,0.09,0.09,0.00,0.09,0.00,0.09,0.09,0.00,0.09
Oleksandr Zinchenko,ua UKR,DF,Manchester City,20,1996,8,6,532,05.sept,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,9,57,49,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09
Kurt Zouma,fr FRA,DF,Stoke City,22,1994,34,32,2 888,32.1,1,0,1,1,0,0,1,0,01.mars,01.févr,0.4,01.juin,23,86,11,0.03,0.00,0.03,0.03,0.03,0.04,0.01,0.05,0.04,0.05
