Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Aymen Abdennour,tn TUN,DF,Valencia,26,1989,13,9,879,09.août,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
Antonio Adán,es ESP,GK,Betis,29,1987,37,37,3 33,37.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00
Aritz Aduriz,es ESP,FW,Athletic Club,35,1981,32,27,2 458,27.mars,16,1,17,11,5,5,8,1,0.59,0.04,0.62,0.40,0.44
Akram Afif,qa QAT,FW MF,Sporting Gijón,19,1996,9,2,234,02.juin,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Rachid Aït-Atmane,dz ALG,MF,Sporting Gijón,23,1993,8,6,492,05.mai,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Javi Álamo,es ESP,FW MF,Osasuna,27,1988,2,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jordi Alba,es ESP,DF MF,Barcelona,27,1989,26,21,1 968,21.sept,1,6,7,1,0,0,4,0,0.05,0.27,0.32,0.05,0.32
Raúl Albentosa,es ESP,DF,La Coruña,27,1988,27,26,2 335,25.sept,1,1,2,1,0,0,10,1,0.04,0.04,0.08,0.04,0.08
Paco Alcácer,es ESP,FW,Barcelona,22,1993,20,6,858,09.mai,6,3,9,6,0,0,1,0,0.63,0.31,0.94,0.63,0.94
Paco Alcácer,es ESP,FW,Valencia,22,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Álex Alegría,es ESP,FW,Betis,23,1992,25,15,1 438,16.0,3,2,5,3,0,0,2,0,0.19,0.13,0.31,0.19,0.31
Carles Aleñá,es ESP,MF,Barcelona,18,1998,3,0,43,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Alexander,ar ARG,MF,Leganés,27,1988,28,24,2 031,22.juin,8,2,10,7,1,2,1,0,0.35,0.09,0.44,0.31,0.40
Alexis,es ESP,DF,Alavés,30,1985,24,19,1 819,20.févr,2,1,3,2,0,0,10,1,0.10,0.05,0.15,0.10,0.15
Sergio Álvarez,es ESP,DF MF,Sporting Gijón,24,1992,36,34,3 003,33.4,2,1,3,2,0,0,9,0,0.06,0.03,0.09,0.06,0.09
Sergio Álvarez,es ESP,GK,Celta Vigo,29,1986,26,26,2 34,26.0,0,1,1,0,0,0,0,1,0.00,0.04,0.04,0.00,0.04
Víctor Álvarez,es ESP,DF MF,Espanyol,23,1993,4,2,204,02.mars,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Yeray Álvarez,es ESP,DF,Athletic Club,21,1995,26,25,2 271,25.févr,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Diego Alves,br BRA,GK,Valencia,31,1985,33,33,2 97,33.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
Fernando Amorebieta,ve VEN,DF,Sporting Gijón,31,1985,27,26,2 218,24.juin,0,1,1,0,0,0,17,0,0.00,0.04,0.04,0.00,0.04
Jon Ander Serantes,es ESP,GK,Leganés,26,1989,13,13,1 109,12.mars,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Florin Andone,ro ROU,FW,La Coruña,23,1993,37,32,2 893,32.1,12,2,14,12,0,0,6,0,0.37,0.06,0.44,0.37,0.44
Victorien Angban,ci CIV,MF,Granada,19,1996,10,8,682,07.juin,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
Miguel Ángel Guerrero,es ESP,FW MF,Leganés,26,1990,31,25,2 139,23.août,5,1,6,4,1,1,3,0,0.21,0.04,0.25,0.17,0.21
José Ángel,es ESP,DF MF,Villarreal,26,1989,7,7,630,7.0,0,1,1,0,0,0,2,0,0.00,0.14,0.14,0.00,0.14
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Miguel Ángel Moyá,es ESP,GK,Atlético Madrid,32,1984,9,8,770,08.juin,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
José Antonio Reyes,es ESP,MF,Espanyol,32,1983,21,10,869,09.juil,3,4,7,2,1,1,1,0,0.31,0.41,0.72,0.21,0.62
Sergio Araujo,ar ARG,FW MF,Las Palmas,24,1992,11,5,533,05.sept,2,1,3,2,0,0,2,0,0.34,0.17,0.51,0.34,0.51
Anaitz Arbilla,es ESP,DF,Eibar,29,1987,22,17,1 574,17.mai,0,2,2,0,0,0,5,0,0.00,0.11,0.11,0.00,0.11
Markel Areitio,es ESP,GK,Eibar,19,1996,1,0,46,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Alejandro Arribas,es ESP,DF,La Coruña,27,1989,23,20,1 91,21.févr,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00
Kepa Arrizabalaga,es ESP,GK,Athletic Club,21,1994,23,23,2 015,22.avr,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Aythami Artiles,es ESP,DF,Las Palmas,30,1986,11,8,835,09.mars,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00
Sergio Asenjo,es ESP,GK,Villarreal,27,1989,24,24,2 104,23.avr,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Marco Asensio,es ESP,FW MF,Real Madrid,20,1996,23,11,1 082,12.0,3,2,5,3,0,0,0,0,0.25,0.17,0.42,0.25,0.42
Iago Aspas,es ESP,FW MF,Celta Vigo,28,1987,32,25,2 315,25.juil,19,3,22,13,6,6,9,1,0.74,0.12,0.86,0.51,0.62
Omer Atzili,il ISR,FW MF,Granada,23,1993,9,3,317,03.mai,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Ryan Babel,nl NED,FW MF,La Coruña,29,1986,11,5,562,06.févr,4,1,5,4,0,1,3,0,0.64,0.16,0.80,0.64,0.80
Jean-Sylvain Babin,mq MTQ,DF,Sporting Gijón,29,1986,22,20,1 713,19.0,1,1,2,1,0,0,2,0,0.05,0.05,0.11,0.05,0.11
Cédric Bakambu,cd COD,FW,Villarreal,25,1991,26,17,1 567,17.avr,11,1,12,11,0,0,5,0,0.63,0.06,0.69,0.63,0.69
Zakaria Bakkali,be BEL,FW MF,Valencia,20,1996,18,1,288,03.févr,1,0,1,1,0,0,2,0,0.31,0.00,0.31,0.31,0.31
Gareth Bale,wls WAL,FW MF,Real Madrid,27,1989,19,17,1 418,15.août,7,2,9,7,0,0,3,1,0.44,0.13,0.57,0.44,0.57
Mikel Balenziaga,es ESP,DF,Athletic Club,28,1988,33,33,2 847,31.6,1,1,2,1,0,0,3,1,0.03,0.03,0.06,0.03,0.06
Léo Baptistão,br BRA,FW MF,Espanyol,23,1992,21,16,1 424,15.août,6,5,11,6,0,0,1,0,0.38,0.32,0.70,0.38,0.70
Kike Barja,es ESP,FW MF,Osasuna,19,1997,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
David Barral,es ESP,FW,Granada,33,1983,8,2,316,03.mai,0,1,1,0,0,0,1,0,0.00,0.28,0.28,0.00,0.28
Diego Barrios,es ESP,GK,Leganés,22,1994,1,0,62,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jon Bautista,es ESP,FW,Real Sociedad,21,1995,12,2,312,03.mai,3,0,3,3,0,0,0,0,0.87,0.00,0.87,0.87,0.87
Claudio Beauvue,gp GLP,FW MF,Celta Vigo,28,1988,13,5,658,07.mars,1,2,3,1,0,0,1,0,0.14,0.27,0.41,0.14,0.41
Bebé,cv CPV,FW MF,Eibar,26,1990,20,8,687,07.juin,3,2,5,3,0,0,2,0,0.39,0.26,0.66,0.39,0.66
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Wissam Ben Yedder,fr FRA,FW MF,Sevilla,25,1990,31,20,1 661,18.mai,11,5,16,10,1,1,0,0,0.60,0.27,0.87,0.54,0.81
Karim Benzema,fr FRA,FW,Real Madrid,28,1987,29,23,1 903,21.janv,11,5,16,11,0,0,0,0,0.52,0.24,0.76,0.52,0.76
Yuri Berchiche,es ESP,DF,Real Sociedad,26,1990,35,35,3 088,34.3,3,2,5,3,0,0,9,0,0.09,0.06,0.15,0.09,0.15
Álex Berenguer,es ESP,FW MF,Osasuna,21,1995,29,22,2 12,23.juin,1,6,7,1,0,0,3,0,0.04,0.25,0.30,0.04,0.30
Álex Bergantiños,es ESP,MF,La Coruña,31,1985,8,6,553,06.janv,1,0,1,1,0,0,2,0,0.16,0.00,0.16,0.16,0.16
Markel Bergara,es ESP,MF,Real Sociedad,30,1986,6,3,288,03.févr,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Pedro Bigas,es ESP,DF MF,Las Palmas,25,1990,32,31,2 647,29.avr,4,1,5,4,0,0,5,1,0.14,0.03,0.17,0.14,0.17
Rubén Blanco,es ESP,GK,Celta Vigo,21,1995,11,11,990,11.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Kevin-Prince Boateng,gh GHA,FW MF,Las Palmas,29,1987,28,25,1 979,22.0,10,4,14,10,0,0,11,2,0.45,0.18,0.64,0.45,0.64
Jeremie Boga,ci CIV,FW MF,Granada,19,1997,26,14,1 458,16.févr,2,1,3,2,0,0,0,0,0.12,0.06,0.19,0.12,0.19
Daniele Bonera,it ITA,DF,Villarreal,35,1981,6,6,540,6.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Theo Bongonda,cd COD,FW MF,Celta Vigo,20,1995,30,26,2 16,24.0,1,3,4,1,0,0,3,0,0.04,0.12,0.17,0.04,0.17
Tano Bonnín,do DOM,DF,Osasuna,26,1990,11,9,734,08.févr,0,1,1,0,0,0,2,1,0.00,0.12,0.12,0.00,0.12
Celso Borges,cr CRC,FW MF,La Coruña,28,1988,34,30,2 722,30.2,6,0,6,4,2,3,5,0,0.20,0.00,0.20,0.13,0.13
Rafael Borré,co COL,FW,Villarreal,20,1995,17,2,357,4.0,2,1,3,2,0,0,0,0,0.50,0.25,0.76,0.50,0.76
Eneko Bóveda,es ESP,DF,Athletic Club,27,1988,19,18,1 556,17.mars,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Denys Boyko,ua UKR,GK,Málaga,28,1988,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Darko Brašanac,rs SRB,MF,Betis,24,1992,25,19,1 621,18.0,1,1,2,1,0,0,7,0,0.06,0.06,0.11,0.06,0.11
Claudio Bravo,cl CHI,GK,Barcelona,33,1983,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Alberto Brignoli,it ITA,GK,Leganés,24,1991,1,0,61,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Alberto Bueno,es ESP,FW MF,Leganés,28,1988,11,3,381,04.févr,1,1,2,1,0,0,1,0,0.24,0.24,0.47,0.24,0.47
Alberto Bueno,es ESP,FW MF,Granada,28,1988,13,5,562,06.févr,1,2,3,1,0,0,0,0,0.16,0.32,0.48,0.16,0.48
Aitor Buñuel,es ESP,DF,Osasuna,18,1998,15,10,1 03,11.avr,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Burgui,es ESP,FW MF,Sporting Gijón,22,1993,32,21,1 992,22.janv,2,4,6,2,0,0,6,0,0.09,0.18,0.27,0.09,0.27
Sergio Busquets,es ESP,MF,Barcelona,28,1988,33,33,2 687,29.sept,0,3,3,0,0,0,9,0,0.00,0.10,0.10,0.00,0.10
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Unai Bustinza,es ESP,DF,Leganés,24,1992,22,21,1 79,19.sept,0,1,1,0,0,0,10,0,0.00,0.05,0.05,0.00,0.05
Gustavo Cabral,ar ARG,DF,Celta Vigo,30,1985,25,25,2 177,24.févr,2,1,3,2,0,0,6,0,0.08,0.04,0.12,0.08,0.12
Felipe Caicedo,ec ECU,FW MF,Espanyol,27,1988,27,14,1 288,14.mars,2,1,3,2,0,1,4,1,0.14,0.07,0.21,0.14,0.21
Ignacio Camacho,es ESP,MF,Málaga,26,1990,35,35,3 145,34.9,4,2,6,4,0,0,14,0,0.11,0.06,0.17,0.11,0.17
Víctor Camarasa,es ESP,MF,Alavés,22,1994,31,28,2 495,27.juil,3,1,4,3,0,0,4,0,0.11,0.04,0.14,0.11,0.14
Sergio Canales,es ESP,FW MF,Real Sociedad,25,1991,31,7,1 011,11.févr,0,4,4,0,0,0,2,0,0.00,0.36,0.36,0.00,0.36
João Cancelo,pt POR,DF MF,Valencia,22,1994,35,27,2 428,27.0,1,4,5,1,0,0,6,1,0.04,0.15,0.19,0.04,0.19
Roberto Canella,es ESP,DF,Sporting Gijón,28,1988,20,20,1 753,19.mai,2,1,3,2,0,0,3,0,0.10,0.05,0.15,0.10,0.15
Aitor Cantalapiedra,es ESP,FW MF,Villarreal,20,1996,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Ander Capa,es ESP,DF MF,Eibar,24,1992,31,29,2 551,28.mars,0,3,3,0,0,0,9,1,0.00,0.11,0.11,0.00,0.11
Mehdi Carcela,ma MAR,FW MF,Granada,27,1989,22,20,1 747,19.avr,5,1,6,5,0,0,6,0,0.26,0.05,0.31,0.26,0.31
José Carlos,es ESP,DF,Betis,20,1996,6,6,496,05.mai,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Carlos Carmona,es ESP,FW MF,Sporting Gijón,29,1987,25,21,1 861,20.juil,8,2,10,8,0,0,5,0,0.39,0.10,0.48,0.39,0.48
Yannick Carrasco,be BEL,DF FW,Atlético Madrid,22,1993,35,27,2 257,25.janv,10,4,14,10,0,1,5,0,0.40,0.16,0.56,0.40,0.56
Daniel Carriço,pt POR,DF MF,Sevilla,27,1988,6,6,452,5.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Federico Cartabia,ar ARG,MF,Valencia,23,1993,4,2,152,01.juil,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Dani Carvajal,es ESP,DF,Real Madrid,24,1992,23,21,2 016,22.avr,0,4,4,0,0,0,11,0,0.00,0.18,0.18,0.00,0.18
Casemiro,br BRA,MF,Real Madrid,24,1992,25,20,1 706,19.0,4,0,4,4,0,0,10,0,0.21,0.00,0.21,0.21,0.21
Nacho Cases,es ESP,MF,Sporting Gijón,28,1987,21,16,1 471,16.mars,2,1,3,2,0,0,6,0,0.12,0.06,0.18,0.12,0.18
Kiko Casilla,es ESP,GK,Real Madrid,29,1986,11,11,990,11.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Dani Castellano,es ESP,DF MF,Las Palmas,28,1987,27,25,2 107,23.avr,0,1,1,0,0,0,2,0,0.00,0.04,0.04,0.00,0.04
Javi Castellano,es ESP,DF MF,Las Palmas,28,1987,5,0,99,01.janv,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Samu Castillejo,es ESP,FW MF,Villarreal,21,1995,33,24,2 05,22.août,2,2,4,2,0,0,2,0,0.09,0.09,0.18,0.09,0.18
Carlos Castro,es ESP,FW,Sporting Gijón,21,1995,25,10,1 024,11.avr,4,1,5,4,0,0,1,0,0.35,0.09,0.44,0.35,0.44
Chory Castro,uy URU,FW MF,Málaga,31,1984,29,21,1 79,19.sept,1,3,4,1,0,0,5,1,0.05,0.15,0.20,0.05,0.20
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Jonny Castro,es ESP,DF MF,Celta Vigo,22,1994,30,23,2 213,24.juin,0,3,3,0,0,0,8,0,0.00,0.12,0.12,0.00,0.12
Rubén Castro,es ESP,FW MF,Betis,35,1981,35,32,2 777,30.sept,13,3,16,11,2,2,3,0,0.42,0.10,0.52,0.36,0.45
Goran Čaušić,rs SRB,MF,Osasuna,24,1992,26,22,2 008,22.mars,1,2,3,1,0,0,4,0,0.04,0.09,0.13,0.04,0.13
Dani Ceballos,es ESP,MF,Betis,19,1996,30,24,2 339,26.0,2,2,4,2,0,0,8,0,0.08,0.08,0.15,0.08,0.15
Álvaro Cejudo,es ESP,MF,Betis,32,1984,17,6,815,09.janv,1,1,2,1,0,0,8,0,0.11,0.11,0.22,0.11,0.22
Alessio Cerci,it ITA,FW MF,Atlético Madrid,29,1987,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Nereo Champagne,ar ARG,GK,Leganés,31,1985,4,4,360,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Charles,br BRA,FW,Málaga,32,1984,21,11,1 141,12.juil,3,1,4,3,0,0,5,0,0.24,0.08,0.32,0.24,0.32
Pape Cheikh Diop,sn SEN,MF,Celta Vigo,18,1997,16,5,571,06.mars,1,0,1,1,0,0,3,0,0.16,0.00,0.16,0.16,0.16
Denis Cheryshev,ru RUS,FW MF,Villarreal,25,1990,11,2,340,03.août,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Michaël Ciani,fr FRA,DF,Espanyol,32,1984,1,0,54,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jasper Cillessen,nl NED,GK,Barcelona,27,1989,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Carlos Clerc,es ESP,DF MF,Osasuna,24,1992,25,22,1 947,21.juin,1,0,1,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05
Fábio Coentrão,pt POR,DF,Real Madrid,28,1988,3,2,169,01.sept,0,1,1,0,0,0,0,0,0.00,0.53,0.53,0.00,0.53
Emre Çolak,tr TUR,MF,La Coruña,25,1991,33,29,2 466,27.avr,3,6,9,3,0,1,5,0,0.11,0.22,0.33,0.11,0.33
David Concha,es ESP,FW MF,Real Sociedad,19,1996,8,1,116,01.mars,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Duje Čop,hr CRO,FW,Sporting Gijón,26,1990,31,27,2 273,25.mars,9,3,12,6,3,4,7,0,0.36,0.12,0.48,0.24,0.36
Ángel Correa,ar ARG,FW MF,Atlético Madrid,21,1995,31,10,1 229,13.juil,4,8,12,4,0,0,6,0,0.29,0.59,0.88,0.29,0.88
Joaquín Correa,ar ARG,FW MF,Sevilla,21,1994,26,15,1 313,14.juin,4,0,4,4,0,0,6,0,0.27,0.00,0.27,0.27,0.27
Jaume Costa,es ESP,DF,Villarreal,28,1988,31,30,2 68,29.août,1,3,4,1,0,0,13,1,0.03,0.10,0.13,0.03,0.13
David Costas,es ESP,DF,Celta Vigo,21,1995,1,1,90,1.0,0,1,1,0,0,0,1,0,0.00,1.00,1.00,0.00,1.00
Iván Cuéllar,es ESP,GK,Sporting Gijón,32,1984,36,36,3 24,36.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00
Isaac Cuenca,es ESP,FW MF,Granada,25,1991,25,18,1 746,19.avr,2,0,2,2,0,0,4,0,0.10,0.00,0.10,0.10,0.10
Danilo,br BRA,DF MF,Real Madrid,25,1991,17,17,1 485,16.mai,1,2,3,1,0,0,2,0,0.06,0.12,0.18,0.06,0.18
Martín Demichelis,ar ARG,DF MF,Málaga,35,1980,10,7,678,07.mai,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Martín Demichelis,ar ARG,DF MF,Espanyol,35,1980,2,1,99,01.janv,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Deyverson,br BRA,FW,Alavés,25,1991,32,29,2 58,28.juil,7,1,8,7,0,0,14,0,0.24,0.03,0.28,0.24,0.28
Marcelo Díaz,cl CHI,MF,Celta Vigo,29,1986,26,17,1 648,18.mars,1,2,3,1,0,0,5,0,0.05,0.11,0.16,0.05,0.16
Víctor Díaz,es ESP,DF,Leganés,28,1988,23,20,1 81,20.janv,1,1,2,1,0,0,6,0,0.05,0.05,0.10,0.05,0.10
Didier Digard,fr FRA,MF,Osasuna,30,1986,3,3,192,02.janv,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Lucas Digne,fr FRA,DF MF,Barcelona,23,1993,17,14,1 171,13.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Papakouli Diop,sn SEN,MF,Espanyol,30,1986,18,9,906,10.janv,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00
Jaume Doménech,es ESP,GK,Valencia,25,1990,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Ryan Donk,sr SUR,DF MF,Betis,30,1986,16,9,859,09.mai,0,1,1,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10
Jonathan dos Santos,mx MEX,MF,Villarreal,26,1990,34,22,2 214,24.juin,2,3,5,2,0,0,4,0,0.08,0.12,0.20,0.08,0.20
Mauro dos Santos,ar ARG,DF,Eibar,27,1989,11,8,763,08.mai,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Douglas,br BRA,DF,Sporting Gijón,25,1990,21,20,1 717,19.janv,3,0,3,3,0,0,6,0,0.16,0.00,0.16,0.16,0.16
